Chromosome	Start	End	ID	Confidence
chr1	1748250	1749250	E_000050	0.5674
chr1	1820000	1821250	E_000051	0.6938
chr1	1823500	1824000	E_000052	0.798
chr1	1839250	1842000	E_000053	0.8522
chr1	2086250	2087250	E_000054	0.6905
chr1	2106750	2108750	E_000055	0.9573
chr1	2110500	2113000	E_000056	0.9555
chr1	2121750	2122750	E_000057	0.6486
chr1	2123250	2124250	E_000058	0.5797
chr1	2124500	2125000	E_000059	0.8452
chr1	2127250	2127750	E_000060	0.5526
chr1	2128500	2129750	E_000061	0.9007
chr1	2136500	2137750	E_000062	0.7677
chr1	2157750	2159000	E_000063	0.7915
chr1	2160750	2162750	E_000064	0.8793
chr1	2164500	2165000	E_000065	0.8263
chr1	2186250	2188250	E_000066	0.8788
chr1	2221000	2223250	E_000067	0.8972
chr1	2246500	2248000	E_000068	0.8819
chr1	2321750	2322250	E_000069	0.8038
chr1	2326000	2327000	E_000070	0.8094
chr1	2453750	2454750	E_000071	0.706
chr1	2456000	2457000	E_000072	0.7787
chr1	2472250	2474500	E_000073	0.9627
chr1	2474750	2476750	E_000074	0.9546
chr1	2478500	2481250	E_000075	0.9331
chr1	2515000	2516000	E_000076	0.9745
chr1	2516250	2516750	E_000077	0.5813
chr1	2573250	2575000	E_000078	0.8429
chr1	3229000	3230250	E_000079	0.9808
chr1	3230500	3231250	E_000080	0.808
chr1	3542500	3543000	E_000081	0.8008
chr1	3687250	3688250	E_000082	0.7892
chr1	3690250	3694250	E_000083	0.9377
chr1	3711250	3712500	E_000084	0.8731
chr1	3719750	3723000	E_000085	0.978
chr1	3739000	3740250	E_000086	0.9449
chr1	3784750	3785750	E_000087	0.8131
chr1	3786250	3787250	E_000088	0.977
chr1	3818000	3818500	E_000089	0.6538
chr1	4035750	4037750	E_000090	0.9524
chr1	5952000	5953750	E_000091	0.9779
chr1	5976250	5978750	E_000092	0.9222
chr1	6053750	6055000	E_000093	0.8511
chr1	6066500	6068000	E_000094	0.9784
chr1	6187250	6188250	E_000095	0.8456
chr1	6293750	6295250	E_000096	0.6999
chr1	6376500	6377750	E_000097	0.9843
chr1	6612750	6614000	E_000098	0.8124
chr1	6640750	6643250	E_000099	0.9321
chr1	6661000	6662250	E_000100	0.8001
chr1	6664250	6665250	E_000101	0.828
chr1	6669250	6671000	E_000102	0.8207
chr1	6672000	6672500	E_000103	0.9133
chr1	6675750	6677500	E_000104	0.8492
chr1	6686000	6686750	E_000105	0.6486
chr1	6726750	6727750	E_000106	0.849
chr1	6760000	6761250	E_000107	0.7668
chr1	6803500	6804500	E_000108	0.9314
chr1	6843250	6844250	E_000109	0.6571
chr1	6846250	6846750	E_000110	0.7992
chr1	6971250	6973000	E_000111	0.9789
chr1	7829500	7830250	E_000112	0.6814
chr1	7842750	7843250	E_000113	0.5189
chr1	7888500	7890250	E_000114	0.7474
chr1	8002750	8003250	E_000115	0.5802
chr1	8011000	8012250	E_000116	0.8558
chr1	8049750	8050750	E_000117	0.7264
chr1	8064000	8066250	E_000118	0.9773
chr1	8180750	8184250	E_000119	0.978
chr1	8256750	8259250	E_000120	0.9823
chr1	8271500	8273000	E_000121	0.7805
chr1	8468750	8470250	E_000122	0.9849
chr1	8523250	8524250	E_000123	0.9875
chr1	8578000	8578750	E_000124	0.9786
chr1	8579750	8581500	E_000125	0.9354
chr1	8600750	8603250	E_000126	0.9646
chr1	8623000	8624000	E_000127	0.9875
chr1	8760250	8762250	E_000128	0.7798
chr1	8772000	8773250	E_000129	0.9843
chr1	8848250	8853250	E_000130	0.9745
chr1	8856500	8857750	E_000131	0.9843
chr1	8873750	8877000	E_000132	0.7844
chr1	8878750	8879250	E_000133	0.8539
chr1	8917750	8918750	E_000134	0.9513
chr1	8920500	8921250	E_000135	0.7275
chr1	8932500	8937500	E_000136	0.8428
chr1	8940500	8941250	E_000137	0.9233
chr1	8959500	8960750	E_000138	0.9811
chr1	9295500	9296000	E_000139	0.7635
chr1	9359750	9361250	E_000140	0.9798
chr1	9488750	9490250	E_000141	0.8856
chr1	9555250	9556250	E_000142	0.6867
chr1	9597500	9598500	E_000143	0.9185
chr1	9600250	9603000	E_000144	0.7889
chr1	9649500	9650000	E_000145	0.7875
chr1	9650250	9650750	E_000146	0.514
chr1	9652750	9653750	E_000147	0.9789
chr1	9716750	9719000	E_000148	0.9738
chr1	9748750	9751000	E_000149	0.7507
chr1	9772250	9774000	E_000150	0.9713
chr1	9778750	9780750	E_000151	0.9083
chr1	9812750	9814000	E_000152	0.9869
chr1	9834250	9835250	E_000153	0.9662
chr1	9887250	9888250	E_000154	0.8433
chr1	9969000	9969750	E_000155	0.6859
chr1	9971500	9973250	E_000156	0.9048
chr1	9988250	9991000	E_000157	0.9139
chr1	10010250	10011250	E_000158	0.9875
chr1	10094250	10096000	E_000159	0.6624
chr1	10105750	10107000	E_000160	0.9662
chr1	10120000	10121000	E_000161	0.7327
chr1	10124750	10126250	E_000162	0.9843
chr1	10126500	10128000	E_000163	0.9488
chr1	10144000	10145000	E_000164	0.9513
chr1	10272250	10272750	E_000165	0.7635
chr1	10399250	10400500	E_000166	0.9324
chr1	10460250	10462000	E_000167	0.8399
chr1	10463250	10464500	E_000168	0.9527
chr1	10476000	10477750	E_000169	0.5891
chr1	10519250	10520250	E_000170	0.8727
chr1	10535750	10536750	E_000171	0.7314
chr1	10570000	10572250	E_000172	0.9797
chr1	10615500	10617500	E_000173	0.982
chr1	11118500	11119000	E_000174	0.7899
chr1	11121250	11122250	E_000175	0.8715
chr1	11321250	11322000	E_000176	0.7729
chr1	11334250	11336750	E_000177	0.7278
chr1	11708250	11709500	E_000178	0.6901
chr1	11730500	11732750	E_000179	0.9753
chr1	11740000	11740500	E_000180	0.8274
chr1	11742500	11743000	E_000181	0.5709
chr1	11749750	11750750	E_000182	0.7821
chr1	11767000	11768500	E_000183	0.9797
chr1	11788750	11790500	E_000184	0.9757
chr1	11791250	11792750	E_000185	0.9241
chr1	11796750	11799250	E_000186	0.9347
chr1	11799750	11801750	E_000187	0.9778
chr1	11812000	11813500	E_000188	0.9849
chr1	11845750	11846750	E_000189	0.8767
chr1	11849250	11854250	E_000190	0.9192
chr1	11854750	11862750	E_000191	0.9076
chr1	11868000	11869000	E_000192	0.7993
chr1	11901750	11902750	E_000193	0.885
chr1	11939750	11944500	E_000194	0.9804
chr1	11967500	11971500	E_000195	0.9017
chr1	11984000	11985750	E_000196	0.7712
chr1	11989500	11990750	E_000197	0.9841
chr1	11995500	11997000	E_000198	0.881
chr1	11998250	12001000	E_000199	0.9438
chr1	12008500	12009750	E_000200	0.9002
chr1	12032250	12033750	E_000201	0.7821
chr1	12043500	12045250	E_000202	0.9287
chr1	12060500	12063000	E_000203	0.8061
chr1	12064000	12067000	E_000204	0.9554
chr1	12074250	12075750	E_000205	0.975
chr1	12076250	12077000	E_000206	0.9869
chr1	12080250	12081000	E_000207	0.807
chr1	12097750	12099750	E_000208	0.9261
chr1	12111500	12113000	E_000209	0.9773
chr1	12124250	12126250	E_000210	0.8015
chr1	12127750	12128750	E_000211	0.9762
chr1	12135000	12137250	E_000212	0.978
chr1	12139000	12140000	E_000213	0.9789
chr1	12140750	12142500	E_000214	0.9682
chr1	12173500	12174500	E_000215	0.9385
chr1	12221250	12222500	E_000216	0.9773
chr1	12227750	12229500	E_000217	0.8584
chr1	12234500	12236250	E_000218	0.9786
chr1	12252750	12253500	E_000219	0.5829
chr1	12255000	12256250	E_000220	0.9166
chr1	12277000	12280000	E_000221	0.9817
chr1	12280500	12281750	E_000222	0.9746
chr1	12290750	12292000	E_000223	0.7189
chr1	12468000	12468750	E_000224	0.8901
chr1	12470500	12471000	E_000225	0.8102
chr1	12487750	12489250	E_000226	0.9606
chr1	12492500	12500500	E_000227	0.9632
chr1	12501000	12502250	E_000228	0.9843
chr1	12504750	12512250	E_000229	0.96
chr1	12513000	12516000	E_000230	0.9499
chr1	12520500	12523750	E_000231	0.9343
chr1	12526250	12529000	E_000232	0.8745
chr1	12529500	12530750	E_000233	0.8241
chr1	12531500	12537500	E_000234	0.9407
chr1	12539250	12540000	E_000235	0.8724
chr1	12540500	12543000	E_000236	0.9769
chr1	12554250	12556250	E_000237	0.9482
chr1	12569750	12572500	E_000238	0.9697
chr1	12585000	12586500	E_000239	0.9106
chr1	12588500	12593000	E_000240	0.936
chr1	12596000	12598500	E_000241	0.954
chr1	12600500	12603000	E_000242	0.9583
chr1	12608500	12611500	E_000243	0.9392
chr1	12612750	12614000	E_000244	0.9843
chr1	12627000	12628000	E_000245	0.7606
chr1	12644500	12645750	E_000246	0.7278
chr1	12661000	12665750	E_000247	0.9227
chr1	12674000	12676000	E_000248	0.9202
chr1	12680250	12680750	E_000249	0.5182
chr1	12715250	12718500	E_000250	0.8884
chr1	12870500	12871750	E_000251	0.9824
chr1	14076500	14077000	E_000252	0.6605
chr1	14660500	14661500	E_000253	0.9786
chr1	14744250	14746750	E_000254	0.8573
chr1	14747500	14749750	E_000255	0.9802
chr1	14760750	14765500	E_000256	0.9822
chr1	14769500	14770500	E_000257	0.9875
chr1	15100250	15107500	E_000258	0.9143
chr1	15108000	15113000	E_000259	0.9786
chr1	15208000	15209250	E_000260	0.9843
chr1	15251750	15252250	E_000261	0.5437
chr1	15259500	15260750	E_000262	0.981
chr1	15265750	15267250	E_000263	0.8721
chr1	15322500	15324000	E_000264	0.976
chr1	15616250	15617500	E_000265	0.9838
chr1	15648500	15649750	E_000266	0.9381
chr1	15672500	15673750	E_000267	0.7947
chr1	15678500	15679500	E_000268	0.9832
chr1	15737000	15738000	E_000269	0.8435
chr1	15742000	15743500	E_000270	0.9823
chr1	15840500	15842500	E_000271	0.9731
chr1	15848750	15850000	E_000272	0.8074
chr1	15854250	15856250	E_000273	0.7547
chr1	15868250	15871750	E_000274	0.964
chr1	15944750	15948000	E_000275	0.7901
chr1	15948500	15950000	E_000276	0.9637
chr1	15951250	15956250	E_000277	0.9216
chr1	16018000	16019750	E_000278	0.9456
chr1	16121500	16123750	E_000279	0.9549
chr1	16157750	16161750	E_000280	0.8165
chr1	16171000	16172500	E_000281	0.8125
chr1	16172750	16173250	E_000282	0.6173
chr1	16175750	16177750	E_000283	0.8397
chr1	16182250	16185500	E_000284	0.984
chr1	16211250	16214000	E_000285	0.9665
chr1	16219000	16221000	E_000286	0.9683
chr1	16223000	16226250	E_000287	0.9501
chr1	16229500	16230500	E_000288	0.7327
chr1	16275000	16278750	E_000289	0.9473
chr1	16280500	16281750	E_000290	0.8341
chr1	16282250	16283250	E_000291	0.9828
chr1	16283500	16284500	E_000292	0.9832
chr1	16301000	16302000	E_000293	0.8112
chr1	16337000	16337750	E_000294	0.9746
chr1	16338250	16342250	E_000295	0.9667
chr1	16379000	16383250	E_000296	0.9806
chr1	16402000	16403000	E_000297	0.9768
chr1	16467250	16468250	E_000298	0.9875
chr1	16469500	16472250	E_000299	0.9395
chr1	16474000	16474500	E_000300	0.9021
chr1	16488250	16489750	E_000301	0.9678
chr1	16490250	16491750	E_000302	0.9798
chr1	16493500	16495000	E_000303	0.9225
chr1	16497750	16500500	E_000304	0.9598
chr1	16501750	16503000	E_000305	0.8623
chr1	16532000	16532500	E_000306	0.7519
chr1	16534750	16535500	E_000307	0.9474
chr1	16542500	16544750	E_000308	0.9658
chr1	16554750	16555500	E_000309	0.8864
chr1	16557250	16559250	E_000310	0.9631
chr1	16562250	16563000	E_000311	0.7973
chr1	16573250	16576250	E_000312	0.9567
chr1	16597000	16598250	E_000313	0.9073
chr1	16674000	16674500	E_000314	0.8578
chr1	16676250	16678000	E_000315	0.6906
chr1	16680000	16680500	E_000316	0.8436
chr1	16694750	16696000	E_000317	0.6835
chr1	16717500	16719250	E_000318	0.894
chr1	16768000	16768750	E_000319	0.8052
chr1	16769500	16772500	E_000320	0.9567
chr1	16824750	16827000	E_000321	0.8811
chr1	16832250	16834000	E_000322	0.9692
chr1	16839250	16840000	E_000323	0.7557
chr1	16866250	16867500	E_000324	0.7863
chr1	16872250	16873500	E_000325	0.8024
chr1	16892000	16893000	E_000326	0.9641
chr1	16965500	16966750	E_000327	0.7922
chr1	16969000	16970500	E_000328	0.8103
chr1	16972250	16973000	E_000329	0.8806
chr1	17001000	17002000	E_000330	0.9526
chr1	17004000	17005250	E_000331	0.9407
chr1	17007000	17008000	E_000332	0.7556
chr1	17012750	17014750	E_000333	0.9699
chr1	17185500	17187500	E_000334	0.7932
chr1	17221250	17224250	E_000335	0.8722
chr1	17229000	17230750	E_000336	0.8725
chr1	17232500	17233500	E_000337	0.9346
chr1	17239750	17241500	E_000338	0.8277
chr1	17518500	17519750	E_000339	0.9777
chr1	17685500	17687750	E_000340	0.981
chr1	17760250	17761250	E_000341	0.707
chr1	17762750	17764500	E_000342	0.8252
chr1	17767250	17769000	E_000343	0.9381
chr1	17813250	17816500	E_000344	0.9446
chr1	18738250	18743250	E_000345	0.9387
chr1	18748750	18750250	E_000346	0.8778
chr1	19132750	19135500	E_000347	0.9771
chr1	19218500	19219250	E_000348	0.9343
chr1	19230500	19231000	E_000349	0.9336
chr1	19233250	19237000	E_000350	0.9752
chr1	19329750	19330750	E_000351	0.8591
chr1	19406750	19407250	E_000352	0.8176
chr1	19409750	19410500	E_000353	0.748
chr1	19495500	19497500	E_000354	0.9447
chr1	19505250	19508250	E_000355	0.8914
chr1	19533750	19535750	E_000356	0.839
chr1	19538000	19539750	E_000357	0.725
chr1	19579250	19580750	E_000358	0.8986
chr1	19637000	19637750	E_000359	0.6589
chr1	19639750	19643500	E_000360	0.921
chr1	19651750	19653250	E_000361	0.9685
chr1	19667500	19668500	E_000362	0.9788
chr1	19717000	19718750	E_000363	0.9707
chr1	19733750	19735250	E_000364	0.9775
chr1	19784750	19786500	E_000365	0.8322
chr1	19786750	19788000	E_000366	0.981
chr1	19794750	19797000	E_000367	0.9761
chr1	19813250	19813750	E_000368	0.8958
chr1	19924500	19925750	E_000369	0.782
chr1	19926500	19927250	E_000370	0.9869
chr1	20204750	20206000	E_000371	0.9811
chr1	20209750	20210750	E_000372	0.6379
chr1	20335000	20336000	E_000373	0.9789
chr1	20355750	20356500	E_000374	0.8676
chr1	20364000	20365000	E_000375	0.7338
chr1	20510500	20511500	E_000376	0.9268
chr1	20514000	20516500	E_000377	0.9445
chr1	20521000	20522000	E_000378	0.9789
chr1	20538500	20539750	E_000379	0.9786
chr1	20833500	20834000	E_000380	0.5621
chr1	20939750	20941000	E_000381	0.9875
chr1	20960500	20961500	E_000382	0.7052
chr1	20986500	20987250	E_000383	0.7965
chr1	20989000	20989750	E_000384	0.8384
chr1	21022750	21023750	E_000385	0.8389
chr1	21110250	21112250	E_000386	0.7268
chr1	21115000	21115750	E_000387	0.7044
chr1	21346250	21350250	E_000388	0.9609
chr1	21351000	21352250	E_000389	0.9843
chr1	21353750	21355750	E_000390	0.9181
chr1	21502250	21502750	E_000391	0.6583
chr1	21587250	21590000	E_000392	0.9668
chr1	21650500	21651500	E_000393	0.9875
chr1	21673000	21673750	E_000394	0.8469
chr1	21719000	21720500	E_000395	0.9798
chr1	21779500	21781500	E_000396	0.9842
chr1	21933000	21938000	E_000397	0.96
chr1	21938250	21941000	E_000398	0.9372
chr1	21941750	21944000	E_000399	0.9446
chr1	21944500	21946000	E_000400	0.8248
chr1	21957000	21960750	E_000401	0.9769
chr1	21961000	21962500	E_000402	0.9761
chr1	21964500	21966750	E_000403	0.9778
chr1	21997000	21998000	E_000404	0.9195
chr1	21999000	22000750	E_000405	0.9789
chr1	22001250	22004250	E_000406	0.9621
chr1	22012750	22016000	E_000407	0.9687
chr1	22029000	22030500	E_000408	0.7838
chr1	22075250	22077500	E_000409	0.9626
chr1	22094750	22096250	E_000410	0.9756
chr1	22102250	22103250	E_000411	0.6395
chr1	22105750	22108000	E_000412	0.7765
chr1	22111250	22112750	E_000413	0.9378
chr1	22115750	22119750	E_000414	0.9596
chr1	22120750	22121750	E_000415	0.9832
chr1	22148500	22149250	E_000416	0.8686
chr1	22179250	22180500	E_000417	0.9054
chr1	22191750	22193500	E_000418	0.9832
chr1	22212750	22214000	E_000419	0.9699
chr1	22223000	22224750	E_000420	0.9733
chr1	22228750	22237250	E_000421	0.9679
chr1	22237500	22238250	E_000422	0.9875
chr1	22241250	22242500	E_000423	0.9301
chr1	22243000	22244000	E_000424	0.9875
chr1	22246500	22248500	E_000425	0.9774
chr1	22249500	22251750	E_000426	0.9794
chr1	22257000	22258000	E_000427	0.9257
chr1	22258250	22263250	E_000428	0.9366
chr1	22269250	22270250	E_000429	0.9832
chr1	22289000	22291000	E_000430	0.9789
chr1	22344750	22346750	E_000431	0.982
chr1	22352750	22353750	E_000432	0.8762
chr1	22366250	22367500	E_000433	0.9786
chr1	22374500	22376500	E_000434	0.9576
chr1	22380500	22381750	E_000435	0.6183
chr1	22393750	22395000	E_000436	0.7322
chr1	22448000	22449000	E_000437	0.9832
chr1	22489250	22491250	E_000438	0.7113
chr1	22611250	22613250	E_000439	0.9647
chr1	22776750	22777250	E_000440	0.6151
chr1	22779000	22780250	E_000441	0.6836
chr1	22780500	22781750	E_000442	0.9771
chr1	23302250	23303250	E_000443	0.8085
chr1	23346500	23348250	E_000444	0.6822
chr1	23430000	23431000	E_000445	0.9789
chr1	23440250	23444000	E_000446	0.9623
chr1	23444750	23447250	E_000447	0.8916
chr1	23493500	23494750	E_000448	0.7981
chr1	23496500	23497000	E_000449	0.8789
chr1	23666250	23670250	E_000450	0.7589
chr1	23672000	23672500	E_000451	0.8257
chr1	23693000	23694250	E_000452	0.6904
chr1	23697000	23699250	E_000453	0.9277
chr1	23703000	23704500	E_000454	0.9492
chr1	23711000	23712500	E_000455	0.9428
chr1	23748000	23749750	E_000456	0.971
chr1	23770750	23771500	E_000457	0.981
chr1	23805000	23806000	E_000458	0.8885
chr1	23809500	23810000	E_000459	0.8263
chr1	23823500	23824250	E_000460	0.9875
chr1	23854500	23857000	E_000461	0.943
chr1	23865750	23866750	E_000462	0.966
chr1	23880000	23885000	E_000463	0.9405
chr1	23887750	23890000	E_000464	0.9027
chr1	23893250	23896250	E_000465	0.9044
chr1	23922500	23924000	E_000466	0.9798
chr1	24019500	24021750	E_000467	0.8415
chr1	24042500	24043750	E_000468	0.9843
chr1	24046500	24047500	E_000469	0.9832
chr1	24058250	24059250	E_000470	0.9832
chr1	24071250	24072500	E_000471	0.6856
chr1	24074000	24075000	E_000472	0.7916
chr1	24100000	24103750	E_000473	0.8765
chr1	24106500	24107500	E_000474	0.811
chr1	24115250	24116250	E_000475	0.9338
chr1	24150250	24151250	E_000476	0.6438
chr1	24156500	24157750	E_000477	0.9843
chr1	24234750	24235750	E_000478	0.9323
chr1	24236750	24238000	E_000479	0.8748
chr1	24246000	24248250	E_000480	0.9669
chr1	24303000	24303500	E_000481	0.8102
chr1	24476250	24477250	E_000482	0.9784
chr1	24620250	24621250	E_000483	0.9746
chr1	24744500	24745000	E_000484	0.859
chr1	24764500	24765750	E_000485	0.9747
chr1	24779250	24780250	E_000486	0.8941
chr1	24970750	24972250	E_000487	0.8499
chr1	25020500	25021500	E_000488	0.971
chr1	25031000	25033000	E_000489	0.9706
chr1	25033750	25034750	E_000490	0.7258
chr1	25061250	25063500	E_000491	0.9792
chr1	25068500	25070750	E_000492	0.8159
chr1	25072500	25074000	E_000493	0.8031
chr1	25088500	25089750	E_000494	0.9788
chr1	25091000	25093250	E_000495	0.9653
chr1	25174250	25175500	E_000496	0.7504
chr1	25557750	25558250	E_000497	0.7773
chr1	25560000	25561250	E_000498	0.7124
chr1	25562250	25565000	E_000499	0.9455
chr1	25565250	25567750	E_000500	0.7578
chr1	25592750	25593750	E_000501	0.6402
chr1	25599750	25603250	E_000502	0.7682
chr1	25604250	25607750	E_000503	0.944
chr1	25611500	25612750	E_000504	0.9622
chr1	25665750	25666750	E_000505	0.5983
chr1	25682000	25683250	E_000506	0.9875
chr1	25687250	25689000	E_000507	0.871
chr1	25695250	25696250	E_000508	0.9706
chr1	25739000	25741750	E_000509	0.9588
chr1	25744500	25746750	E_000510	0.919
chr1	25754500	25756000	E_000511	0.8787
chr1	25758000	25761000	E_000512	0.7207
chr1	25761250	25763000	E_000513	0.8558
chr1	25794250	25795250	E_000514	0.9875
chr1	25808500	25809500	E_000515	0.9832
chr1	25871250	25871750	E_000516	0.5785
chr1	25874750	25875250	E_000517	0.922
chr1	25877000	25878000	E_000518	0.8988
chr1	25894750	25896500	E_000519	0.981
chr1	26108500	26109750	E_000520	0.959
chr1	26184500	26185000	E_000521	0.8134
chr1	26187000	26189750	E_000522	0.9375
chr1	26200750	26203250	E_000523	0.903
chr1	26205500	26206500	E_000524	0.8487
chr1	26222500	26223500	E_000525	0.9462
chr1	26249500	26251000	E_000526	0.9695
chr1	26259250	26261500	E_000527	0.9771
chr1	26319250	26320500	E_000528	0.9767
chr1	26323000	26323500	E_000529	0.8221
chr1	26331500	26333000	E_000530	0.8601
chr1	26360500	26363750	E_000531	0.8905
chr1	26369500	26371250	E_000532	0.9316
chr1	26376250	26377000	E_000533	0.9875
chr1	26387000	26388500	E_000534	0.8389
chr1	26393000	26393500	E_000535	0.888
chr1	26396000	26398750	E_000536	0.9561
chr1	26402750	26403500	E_000537	0.9746
chr1	26404500	26406750	E_000538	0.9327
chr1	26420000	26422000	E_000539	0.9638
chr1	26436000	26436500	E_000540	0.5731
chr1	26439000	26441500	E_000541	0.7918
chr1	26446000	26447000	E_000542	0.9583
chr1	26447500	26456000	E_000543	0.9564
chr1	26456750	26458250	E_000544	0.9301
chr1	26459000	26460000	E_000545	0.9789
chr1	26463500	26467000	E_000546	0.9009
chr1	26468000	26469000	E_000547	0.9746
chr1	26487000	26489750	E_000548	0.9191
chr1	26526500	26529250	E_000549	0.9564
chr1	26561250	26565000	E_000550	0.8601
chr1	26583500	26584500	E_000551	0.7059
chr1	26586000	26587000	E_000552	0.7468
chr1	26600250	26604500	E_000553	0.915
chr1	26607250	26607750	E_000554	0.8137
chr1	26609500	26616500	E_000555	0.9811
chr1	26622250	26623250	E_000556	0.6654
chr1	26632000	26632500	E_000557	0.798
chr1	26634500	26635750	E_000558	0.9288
chr1	26642250	26643250	E_000559	0.9291
chr1	26677000	26678250	E_000560	0.9838
chr1	26685250	26686250	E_000561	0.8193
chr1	26703250	26705500	E_000562	0.9625
chr1	26712000	26713000	E_000563	0.9762
chr1	26800500	26801500	E_000564	0.6733
chr1	26813250	26814500	E_000565	0.8241
chr1	26826250	26829500	E_000566	0.9124
chr1	26833500	26835750	E_000567	0.8436
chr1	26860000	26861000	E_000568	0.9828
chr1	26867500	26868500	E_000569	0.9213
chr1	26882250	26883250	E_000570	0.833
chr1	26925000	26926000	E_000571	0.8543
chr1	26928750	26929750	E_000572	0.8543
chr1	26945250	26949750	E_000573	0.8922
chr1	26960000	26961000	E_000574	0.9058
chr1	26961750	26964750	E_000575	0.9665
chr1	27008750	27010000	E_000576	0.9843
chr1	27011000	27015000	E_000577	0.9641
chr1	27016750	27020000	E_000578	0.8866
chr1	27023500	27029250	E_000579	0.8654
chr1	27032250	27033750	E_000580	0.8848
chr1	27043000	27044250	E_000581	0.9764
chr1	27048750	27051250	E_000582	0.9529
chr1	27069500	27072500	E_000583	0.9521
chr1	27097250	27098250	E_000584	0.9047
chr1	27101750	27102500	E_000585	0.7024
chr1	27108750	27112750	E_000586	0.957
chr1	27117250	27119000	E_000587	0.9254
chr1	27123500	27124750	E_000588	0.9185
chr1	27126000	27126750	E_000589	0.9875
chr1	27127250	27128250	E_000590	0.9746
chr1	27131250	27132750	E_000591	0.9798
chr1	27154500	27156500	E_000592	0.941
chr1	27190500	27193250	E_000593	0.9012
chr1	27228250	27229250	E_000594	0.9405
chr1	27249250	27251250	E_000595	0.8429
chr1	27330750	27332000	E_000596	0.925
chr1	27340500	27341250	E_000597	0.744
chr1	27343500	27344500	E_000598	0.9875
chr1	27352500	27355000	E_000599	0.9802
chr1	27391750	27392750	E_000600	0.9832
chr1	27393750	27394750	E_000601	0.9875
chr1	27399750	27402000	E_000602	0.9778
chr1	27462250	27465000	E_000603	0.979
chr1	27472250	27473500	E_000604	0.9811
chr1	27479000	27479750	E_000605	0.5198
chr1	27483000	27484500	E_000606	0.9696
chr1	27559500	27560000	E_000607	0.8365
chr1	27562000	27563250	E_000608	0.6047
chr1	27649250	27650500	E_000609	0.7275
chr1	27665500	27666500	E_000610	0.7725
chr1	27691250	27692750	E_000611	0.9017
chr1	27719750	27720250	E_000612	0.7846
chr1	27753250	27756250	E_000613	0.9572
chr1	27787250	27788250	E_000614	0.7772
chr1	27814000	27816000	E_000615	0.8217
chr1	27826250	27827750	E_000616	0.7578
chr1	27830000	27832750	E_000617	0.9836
chr1	27834500	27836250	E_000618	0.9811
chr1	27839500	27841250	E_000619	0.933
chr1	27842000	27843250	E_000620	0.9185
chr1	27843750	27845500	E_000621	0.9786
chr1	27849000	27851250	E_000622	0.9517
chr1	27853000	27856750	E_000623	0.9362
chr1	27866000	27872500	E_000624	0.9495
chr1	27881000	27885000	E_000625	0.9573
chr1	27886250	27891500	E_000626	0.9579
chr1	27894250	27895250	E_000627	0.9753
chr1	27898000	27900250	E_000628	0.9802
chr1	27901250	27902250	E_000629	0.8723
chr1	27976500	27978000	E_000630	0.9196
chr1	27981250	27982500	E_000631	0.9875
chr1	27985750	27986500	E_000632	0.8153
chr1	27992750	27994000	E_000633	0.9808
chr1	28053250	28053750	E_000634	0.5621
chr1	28116000	28117000	E_000635	0.7472
chr1	28158500	28159250	E_000636	0.779
chr1	28190250	28191500	E_000637	0.9811
chr1	28192500	28197000	E_000638	0.9784
