Position	Class	IPEA	ChromHMM_Segway_weak_Strong-enhancer	DEEP	csi_ann	RFECS	chromHMM	Segway	Control_ChromHMM_Segway_weak_Strong_repressed_State	
chr12_109491445_109491575	1	0	0	1	1	0	0	0	0
chr12_111736987_111737114	1	0	0	0	0	0	0	0	0
chr12_112780521_112780651	1	1	1	0	0	0	1	1	1
chr12_113699772_113699902	1	0	1	0	0	1	1	1	1
chr12_116559277_116559400	1	1	1	1	0	1	1	1	1
chr12_116819456_116819580	1	1	1	0	0	0	1	1	1
chr1_211872169_211872291	1	0	1	0	0	1	0	1	1
chr12_122833209_122833332	1	0	1	0	0	0	1	1	1
chr1_213089022_213089149	1	0	1	0	0	0	1	1	1
chr12_14409195_14409324	1	1	1	0	0	0	1	1	1
chr12_14925000_14925130	1	0	0	0	0	0	0	0	1
chr1_218633344_218633474	1	0	1	0	0	1	1	1	1
chr12_19208661_19208786	1	0	1	0	0	0	0	1	1
chr12_21927620_21927748	1	0	0	0	0	0	0	1	0
chr1_224060924_224061054	1	0	1	0	0	1	1	1	1
chr1_228247417_228247547	1	0	1	0	0	0	0	1	1
chr12_29469838_29469968	1	0	1	0	0	0	1	1	1
chr1_233779200_233779327	1	0	1	0	0	1	1	1	1
chr1_235107040_235107170	1	0	1	1	0	0	1	1	1
chr12_39538933_39539063	1	0	0	0	0	0	0	0	1
chr12_42779310_42779440	1	0	1	0	0	0	1	1	1
chr12_4378267_4378389	1	0	0	0	0	0	0	1	0
chr12_51464000_51464124	1	0	1	0	0	0	1	1	1
chr12_52115671_52115800	1	0	0	0	0	0	0	0	1
chr12_54422072_54422200	1	0	1	0	0	0	0	1	1
chr12_55413640_55413762	1	0	1	0	0	0	0	1	1
chr12_63351069_63351199	1	0	1	0	0	0	0	1	1
chr1_26486259_26486389	1	0	1	0	0	1	1	1	1
chr12_7063106_7063236	1	1	1	0	0	0	1	1	1
chr12_89727749_89727879	1	0	1	0	0	1	1	1	1
chr12_92037696_92037823	1	0	1	0	0	1	1	1	1
chr12_92379284_92379414	1	0	1	0	0	1	1	1	1
chr13_113367992_113368122	1	1	1	0	0	1	1	1	1
chr13_22150773_22150903	1	1	1	0	0	0	1	1	1
chr13_24734054_24734182	1	0	0	0	0	0	0	0	1
chr13_27268041_27268171	1	0	0	0	0	0	0	0	1
chr13_30169887_30170017	1	0	1	0	1	0	0	1	1
chr13_42325499_42325628	1	0	1	0	0	1	0	1	1
chr13_42340089_42340217	1	0	1	0	0	1	0	1	1
chr1_34368181_34368310	1	0	1	0	0	0	1	1	1
chr13_44717467_44717597	1	0	1	0	0	1	1	1	1
chr13_45548343_45548468	1	0	1	0	0	0	0	1	1
chr13_49160883_49161013	1	0	1	0	0	0	1	1	1
chr13_50589556_50589686	1	0	1	0	0	1	1	1	1
chr13_53002592_53002715	1	0	1	0	0	0	0	1	1
chr1_38411994_38412119	1	0	0	1	1	1	0	1	0
chr1_39052630_39052758	1	0	1	0	0	1	0	1	1
chr13_98875229_98875359	1	0	1	0	0	0	1	1	1
chr1_39956595_39956725	1	0	1	0	0	0	0	1	1
chr1_40156832_40156962	1	0	1	0	0	0	0	1	1
chr14_101339132_101339262	1	1	1	1	1	0	1	1	1
chr14_21492859_21492989	1	0	0	1	0	0	0	0	0
chr14_23643567_23643692	1	0	1	0	0	1	1	1	1
chr14_23871627_23871757	1	0	1	0	0	1	0	1	1
chr14_35727787_35727917	1	0	1	0	0	1	1	1	1
chr14_36347826_36347947	1	0	1	0	0	1	1	1	1
chr1_44513077_44513200	1	0	1	1	1	1	1	1	1
chr1_45195045_45195168	1	0	1	0	0	1	1	1	1
chr14_53019672_53019800	1	0	1	0	0	0	0	1	1
chr14_55143702_55143830	1	0	1	0	0	0	1	1	1
chr14_65292329_65292459	1	0	1	0	0	1	1	1	1
chr14_73934643_73934773	1	0	1	0	0	1	1	1	1
chr14_77181504_77181634	1	0	1	0	0	0	1	1	1
chr14_78060054_78060184	1	0	1	0	0	0	0	1	1
chr14_78785896_78786020	1	1	1	0	0	1	1	1	1
chr14_88461473_88461603	1	1	1	0	0	1	1	1	1
chr14_94576874_94577000	1	0	1	0	0	1	1	1	1
chr15_100775324_100775454	1	1	1	1	0	1	1	1	1
chr15_24921335_24921465	1	0	0	0	0	0	0	0	1
chr1_52703252_52703382	1	0	1	0	0	0	0	1	1
chr1_53392600_53392730	1	0	0	0	1	0	0	1	0
chr15_40719273_40719400	1	0	1	1	0	1	1	1	1
chr15_41154422_41154552	1	0	1	0	0	1	1	1	1
chr1_54575506_54575636	1	0	1	0	0	1	1	1	1
chr15_55583017_55583147	1	0	1	0	0	1	1	1	1
chr15_74073600_74073721	1	1	1	1	0	1	1	1	1
chr15_78933824_78933949	1	0	1	0	0	0	0	1	1
chr15_85519384_85519514	1	0	1	0	0	0	1	1	1
chr15_90198742_90198872	1	0	1	0	0	0	0	1	1
chr15_96259258_96259388	1	0	1	0	0	1	1	1	1
chr16_12049715_12049845	1	0	1	0	0	1	1	1	1
chr16_19829333_19829463	1	0	1	0	0	0	1	1	1
chr16_29143903_29144024	1	0	1	0	0	1	0	1	1
chr16_29271400_29271522	1	0	1	0	0	0	1	1	1
chr16_29910824_29910954	1	0	1	0	0	0	1	1	1
chr16_32007835_32007965	1	0	1	0	0	0	0	1	1
chr16_56965235_56965365	1	0	0	1	0	0	0	1	0
chr16_57850315_57850445	1	1	1	0	0	1	1	1	1
chr1_662668_662798	1	0	1	0	0	0	0	1	1
chr16_68413450_68413579	1	0	1	0	0	0	1	1	1
chr16_70125114_70125244	1	0	1	0	0	0	1	1	1
chr16_85344590_85344720	1	0	1	0	0	1	1	1	1
chr16_85575336_85575466	1	1	1	1	1	0	1	1	1
chr16_86962367_86962492	1	0	1	0	0	1	1	1	1
chr16_87594079_87594200	1	1	1	0	0	1	1	1	1
chr16_88349380_88349510	1	0	1	0	0	1	1	1	1
chr17_14235114_14235244	1	1	1	0	0	1	1	1	1
chr17_16395659_16395789	1	0	1	0	0	1	0	1	1
chr17_27207335_27207465	1	1	1	1	1	1	1	1	1
chr17_27947400_27947530	1	0	1	0	0	1	1	1	1
chr17_28580500_28580629	1	0	1	0	0	0	0	1	1
chr17_32295759_32295887	1	0	1	0	0	1	1	1	1
chr17_46806075_46806204	1	0	1	0	0	0	0	1	1
chr17_48046000_48046128	1	0	0	0	0	0	0	0	0
chr17_55190535_55190665	1	0	1	0	0	1	1	1	1
chr17_60162096_60162218	1	0	1	0	0	1	1	1	1
chr17_60749189_60749319	1	0	1	0	0	1	1	1	1
chr17_61959335_61959465	1	0	0	0	0	1	1	1	0
chr1_7669080_7669210	1	0	1	0	0	1	1	1	1
chr17_67890354_67890484	1	0	1	0	0	0	0	1	1
chr17_7348462_7348592	1	0	1	0	0	0	0	1	1
chr17_74487856_74487986	1	0	1	0	0	1	1	1	1
chr17_79218476_79218600	1	0	1	0	0	0	1	1	1
chr17_79428059_79428189	1	0	1	0	0	0	1	1	1
chr17_80188265_80188395	1	1	1	1	0	1	1	1	1
chr18_10530935_10531065	1	1	1	0	1	0	1	1	1
chr18_3282676_3282800	1	0	1	0	0	1	1	1	1
chr18_32990022_32990152	1	0	1	0	0	1	1	1	1
chr18_33176563_33176693	1	0	0	0	0	0	0	0	1
chr1_8671859_8671989	1	0	1	0	0	1	1	1	1
chr18_77198335_77198465	1	0	0	0	0	0	0	1	1
chr18_8142244_8142374	1	0	1	1	0	1	1	1	1
chr18_8623831_8623961	1	0	0	0	0	0	0	0	0
chr19_1098444_1098574	1	1	1	0	1	1	1	1	1
chr19_11752218_11752348	1	0	1	0	0	1	1	1	1
chr19_14172203_14172333	1	1	1	0	0	1	1	1	1
chr19_16941635_16941765	1	1	1	0	0	0	1	1	1
chr19_17650679_17650800	1	0	1	0	0	0	0	1	1
chr1_92030478_92030600	1	0	0	0	0	0	0	1	1
chr1_92035440_92035562	1	0	1	0	0	1	1	1	1
chr19_33592253_33592383	1	0	1	0	0	1	1	1	1
chr19_33624624_33624754	1	0	1	0	0	0	1	1	1
chr19_34013165_34013295	1	0	1	0	0	0	0	1	1
chr19_34311502_34311632	1	0	0	0	0	0	0	1	1
chr19_3434429_3434559	1	0	1	1	1	0	1	1	1
chr1_93456537_93456667	1	0	1	0	0	1	1	1	1
chr19_35559377_35559498	1	0	1	0	0	1	1	1	1
chr1_93625006_93625136	1	0	1	0	0	0	1	1	1
chr19_4084211_4084341	1	0	1	0	0	1	1	1	1
chr19_4229346_4229476	1	0	1	0	0	1	1	1	1
chr19_46032052_46032179	1	0	1	0	0	1	1	1	1
chr19_48035435_48035565	1	1	1	0	0	1	1	1	1
chr19_49935480_49935610	1	0	0	0	1	0	1	1	0
chr19_55582625_55582755	1	0	1	0	0	0	1	1	1
chr19_55720846_55720974	1	0	1	0	0	1	1	1	1
chr19_55881349_55881479	1	0	1	0	0	1	0	1	1
chr19_58175779_58175909	1	0	1	0	0	0	0	1	1
chr20_22383355_22383485	1	1	1	1	0	0	1	1	1
chr20_23066943_23067073	1	0	1	0	0	0	1	1	1
chr20_36531778_36531908	1	0	0	0	0	1	0	1	0
chr20_4116356_4116486	1	0	1	0	0	1	0	1	1
chr20_43180816_43180946	1	0	1	0	0	1	1	1	1
chr20_44002329_44002459	1	1	0	1	1	1	0	1	0
chr20_45197433_45197563	1	0	1	0	0	0	1	1	1
chr20_49500292_49500422	1	0	0	0	0	0	0	1	1
chr20_5150924_5151054	1	0	0	0	0	0	1	1	1
chr20_52660792_52660922	1	1	1	0	0	1	1	1	1
chr20_62849040_62849169	1	0	1	0	0	1	1	1	1
chr2_105678753_105678883	1	1	1	1	0	1	1	1	1
chr2_112400480_112400610	1	0	1	0	0	1	1	1	1
chr2_112460056_112460178	1	0	1	0	0	1	1	1	1
chr2_112777148_112777274	1	0	1	0	0	0	1	1	1
chr2_113925061_113925184	1	0	1	0	0	1	1	1	1
chr2_114008695_114008822	1	0	1	0	0	1	1	1	1
chr21_15950576_15950706	1	0	1	0	0	0	0	1	1
chr21_16138349_16138473	1	0	1	0	0	0	1	1	1
chr2_120348525_120348655	1	0	1	0	0	1	1	1	1
chr2_12466108_12466238	1	1	1	0	0	1	1	1	1
chr21_26934301_26934431	1	0	0	0	0	0	0	0	0
chr2_131089815_131089945	1	0	0	0	0	1	0	1	0
chr2_132177272_132177400	1	0	0	0	0	0	0	1	1
chr2_134959259_134959385	1	0	1	0	0	0	0	1	1
chr2_145310939_145311069	1	1	1	0	0	1	1	1	1
chr2_145440709_145440835	1	1	1	0	1	1	1	1	1
chr21_46669076_46669200	1	0	0	0	0	0	0	1	0
chr21_46777535_46777665	1	0	0	0	0	1	0	1	1
chr2_148540289_148540419	1	1	1	0	0	1	1	1	1
chr2_157189501_157189630	1	0	0	1	0	0	0	0	0
chr2_158999521_158999645	1	0	1	0	0	0	1	1	1
chr2_169489321_169489451	1	1	1	0	0	1	1	1	1
chr2_178414060_178414185	1	0	1	0	0	1	1	1	1
chr2_179058640_179058770	1	0	0	0	1	0	0	0	0
chr2_217801810_217801940	1	0	1	0	0	1	1	1	1
chr2_220589409_220589539	1	1	1	0	0	1	1	1	1
chr22_22982088_22982218	1	0	1	0	0	1	0	1	1
chr22_24542399_24542529	1	0	1	0	0	1	1	1	1
chr22_30223276_30223406	1	0	1	0	0	0	1	1	1
chr22_30608694_30608819	1	0	1	0	0	0	1	1	1
chr22_31688615_31688744	1	0	1	0	0	1	1	1	1
chr2_232065602_232065732	1	0	1	0	0	1	1	1	1
chr22_32160924_32161054	1	1	1	0	0	1	1	1	1
chr2_234259474_234259604	1	1	1	0	0	1	1	1	1
chr22_35539638_35539768	1	0	0	0	0	0	0	0	1
chr22_36332342_36332472	1	0	1	0	0	0	1	1	1
chr22_39092751_39092881	1	1	1	1	0	1	1	1	1
chr22_40247660_40247786	1	0	1	0	0	0	1	1	1
chr22_41106274_41106400	1	0	1	0	0	0	1	1	1
chr2_24233550_24233680	1	1	0	0	1	0	0	0	0
chr2_242664890_242665020	1	0	0	0	0	0	0	1	1
chr22_43329588_43329718	1	0	1	0	0	1	1	1	1
chr22_45809235_45809365	1	0	0	0	0	0	0	0	1
chr22_46374808_46374938	1	0	1	0	0	0	0	1	1
chr22_46465502_46465629	1	0	1	0	0	0	1	1	1
chr22_50920162_50920283	1	0	1	0	0	0	0	1	1
chr2_25147625_25147755	1	1	1	0	0	1	1	1	1
chr2_25465431_25465561	1	0	1	0	0	1	1	1	1
chr2_29338096_29338226	1	0	0	0	0	0	0	0	1
chr2_33435833_33435963	1	0	1	0	0	1	1	1	1
chr2_33683049_33683172	1	0	1	0	0	0	0	1	1
chr2_38834935_38835065	1	0	1	0	0	0	1	1	1
chr2_39184075_39184205	1	0	1	0	0	0	1	1	1
chr2_42280540_42280666	1	0	1	0	0	0	1	1	1
chr2_43927638_43927768	1	0	1	0	0	1	1	1	1
chr2_54330964_54331094	1	0	1	0	0	0	1	1	1
chr2_54812433_54812563	1	0	1	0	0	1	1	1	1
chr2_63199267_63199397	1	0	1	0	0	0	0	1	1
chr2_68421066_68421195	1	1	1	0	0	1	1	1	1
chr2_69105473_69105600	1	0	1	0	0	1	1	1	1
chr2_80555347_80555477	1	0	1	0	0	1	1	1	1
chr2_8677275_8677405	1	0	1	0	0	1	1	1	1
chr2_900235_900365	1	0	0	0	0	0	0	0	1
chr2_95523474_95523600	1	0	1	0	0	0	0	1	1
chr2_96814284_96814409	1	0	1	0	0	0	1	1	1
chr3_107403639_107403769	1	0	0	0	0	0	0	1	1
chr3_115503670_115503800	1	1	1	0	0	0	0	1	1
chr3_119012831_119012961	1	0	1	0	0	0	0	1	1
chr3_125634912_125635036	1	0	1	0	0	0	0	1	1
chr3_128734800_128734929	1	1	1	1	0	0	1	1	1
chr3_129226244_129226374	1	0	0	0	0	0	0	0	1
chr3_132645078_132645200	1	0	1	0	0	0	1	1	1
chr3_13749865_13749995	1	0	0	0	0	0	0	0	1
chr3_141747955_141748085	1	0	0	1	1	0	0	1	0
chr3_154798076_154798200	1	0	1	0	0	0	0	1	1
chr3_156174633_156174759	1	0	1	0	0	1	1	1	1
chr3_156320319_156320446	1	1	1	0	1	1	1	1	1
chr3_157218126_157218256	1	0	1	0	0	1	1	1	1
chr3_171364800_171364927	1	0	1	0	0	0	1	1	1
chr3_177338001_177338124	1	0	1	0	0	0	1	1	1
chr3_185828849_185828974	1	0	1	0	0	0	1	1	1
chr3_195580877_195581000	1	0	1	1	0	1	0	1	1
chr3_24312818_24312947	1	0	1	0	0	0	0	1	1
chr3_37493222_37493351	1	0	1	0	0	1	0	1	1
chr3_43338241_43338371	1	0	1	0	0	1	1	1	1
chr3_44727090_44727220	1	0	1	0	0	0	0	1	1
chr3_49043455_49043585	1	0	1	0	0	1	1	1	1
chr3_49282405_49282535	1	0	1	0	0	1	1	1	1
chr3_49577000_49577130	1	0	1	0	0	0	0	1	1
chr3_49851285_49851415	1	0	1	0	0	1	0	1	1
chr3_58035057_58035185	1	0	1	0	0	1	1	1	1
chr3_69813465_69813589	1	0	1	0	0	1	1	1	1
chr3_71829252_71829375	1	0	1	0	0	1	0	1	1
chr4_110482462_110482591	1	0	1	0	0	0	0	1	1
chr4_123822236_123822366	1	0	0	0	0	0	0	1	1
chr4_128581794_128581917	1	0	1	0	0	1	1	1	1
chr4_139315469_139315597	1	0	1	0	0	0	1	1	1
chr4_1407864_1407994	1	0	1	0	0	1	0	1	1
chr4_144779216_144779346	1	0	1	0	0	1	1	1	1
chr4_151416903_151417025	1	0	1	0	0	0	0	1	1
chr4_183845139_183845269	1	0	1	0	0	1	1	1	1
chr4_184256659_184256789	1	1	1	0	0	0	1	1	1
chr4_190637435_190637565	1	0	0	0	0	0	0	1	0
chr4_38268404_38268534	1	0	1	0	0	0	1	1	1
chr4_38858408_38858538	1	0	1	0	0	0	1	1	1
chr4_40623829_40623955	1	0	1	0	0	0	0	1	1
chr4_68441161_68441291	1	1	1	0	1	0	1	1	1
chr4_69018280_69018410	1	0	1	0	0	0	0	1	1
chr4_73260114_73260236	1	0	1	0	0	0	0	1	1
chr4_74975370_74975500	1	1	1	0	0	1	1	1	1
chr4_87895042_87895172	1	0	1	0	0	1	1	1	1
chr5_108285777_108285907	1	0	1	0	0	0	0	1	1
chr5_110153239_110153369	1	0	1	0	0	1	0	1	1
chr5_121414271_121414400	1	0	0	0	0	0	0	0	0
chr5_124004846_124004973	1	0	1	0	0	1	1	1	1
chr5_126204615_126204745	1	0	0	0	0	1	0	0	0
chr5_126347675_126347799	1	0	1	0	0	0	1	1	1
chr5_132012911_132013039	1	0	1	0	0	0	1	1	1
chr5_147853709_147853839	1	1	1	0	0	1	1	1	1
chr5_159491526_159491656	1	0	1	0	0	0	1	1	1
chr5_169482746_169482872	1	0	1	0	0	0	1	1	1
chr5_179231035_179231165	1	0	1	1	0	1	1	1	1
chr5_1952356_1952486	1	0	0	0	0	0	0	0	1
chr5_2754335_2754465	1	0	0	0	0	0	0	0	1
chr5_38608423_38608553	1	0	1	0	0	1	1	1	1
chr5_38807791_38807917	1	0	1	0	0	1	1	1	1
chr5_55407018_55407142	1	0	1	0	0	0	1	1	1
chr5_55457761_55457889	1	0	1	0	0	1	1	1	1
chr5_60871048_60871178	1	1	1	0	0	0	1	1	1
chr5_61529337_61529467	1	0	1	0	0	1	1	1	1
chr5_67600346_67600476	1	0	1	0	0	0	1	1	1
chr5_78642460_78642590	1	0	1	0	0	1	1	1	1
chr5_81717035_81717165	1	0	1	0	0	1	1	1	1
chr5_90230239_90230369	1	0	1	0	0	0	1	1	1
chr6_107442636_107442766	1	1	1	0	0	1	1	1	1
chr6_108943927_108944054	1	0	1	0	0	1	1	1	1
chr6_113468225_113468355	1	0	1	0	0	1	0	1	1
chr6_116567357_116567487	1	0	1	0	0	0	0	1	1
chr6_116727316_116727446	1	0	1	0	0	0	0	1	1
chr6_11810323_11810453	1	0	1	0	0	1	1	1	1
chr6_118981510_118981640	1	0	1	0	0	1	1	1	1
chr6_126068032_126068162	1	0	1	0	0	1	0	1	1
chr6_133133566_133133696	1	1	1	1	0	0	1	1	1
chr6_13406179_13406309	1	0	1	0	0	1	1	1	1
chr6_134503846_134503971	1	0	1	0	0	0	1	1	1
chr6_136915062_136915192	1	0	1	0	0	0	0	1	1
chr6_137738029_137738155	1	0	1	0	0	1	0	1	1
chr6_141883381_141883511	1	0	1	0	0	0	1	1	1
chr6_142326341_142326471	1	0	1	0	0	0	1	1	1
chr6_157192200_157192330	1	0	1	0	0	0	0	1	1
chr6_158622077_158622200	1	0	1	0	0	0	0	1	1
chr6_15923160_15923290	1	0	1	0	0	1	1	1	1
chr6_16043128_16043255	1	1	1	1	1	1	1	1	1
chr6_164529193_164529322	1	0	1	0	0	1	1	1	1
chr6_169613600_169613724	1	0	1	0	0	0	0	1	1
chr6_20877800_20877927	1	0	1	0	0	0	0	1	1
chr6_2634594_2634723	1	0	1	0	0	1	0	1	1
chr6_41410882_41411012	1	0	1	0	0	0	0	1	1
chr6_41938313_41938443	1	0	1	0	0	0	1	1	1
chr6_43423747_43423868	1	0	1	0	0	0	0	1	1
chr6_44019345_44019472	1	0	1	0	0	1	1	1	1
chr6_51029987_51030113	1	0	1	0	0	0	1	1	1
chr6_52055135_52055265	1	0	0	0	0	0	0	0	1
chr6_52415815_52415945	1	0	1	0	0	1	1	1	1
chr6_52460147_52460276	1	0	1	0	0	1	1	1	1
chr6_57475245_57475375	1	0	0	0	0	0	0	1	1
chr6_69544594_69544724	1	0	1	0	0	0	1	1	1
chr6_7074090_7074220	1	0	1	0	0	0	1	1	1
chr6_7580241_7580371	1	0	1	0	0	1	0	1	1
chr7_101384368_101384498	1	0	1	0	0	0	1	1	1
chr7_104482347_104482468	1	0	1	0	0	1	1	1	1
chr7_106103143_106103265	1	0	1	0	0	0	1	1	1
chr7_116618136_116618266	1	0	1	0	0	1	1	1	1
chr7_128020335_128020465	1	0	0	0	0	0	0	0	1
chr7_135740057_135740184	1	0	1	0	0	0	1	1	1
chr7_143127246_143127376	1	0	1	0	0	0	0	1	1
chr7_149569800_149569926	1	0	0	1	1	0	0	1	0
chr7_150686071_150686200	1	0	1	0	0	1	0	1	1
chr7_156741400_156741525	1	0	0	1	0	0	0	0	0
chr7_156918013_156918141	1	0	1	0	0	1	0	1	1
chr7_2109784_2109914	1	1	1	0	0	1	1	1	1
chr7_22442153_22442283	1	0	0	0	0	0	0	1	1
chr7_25215478_25215608	1	0	0	0	0	0	0	1	1
chr7_25898885_25899009	1	0	0	0	0	0	0	0	1
chr7_38969303_38969433	1	0	1	0	0	0	1	1	1
chr7_64350276_64350400	1	0	0	0	0	1	1	1	0
chr7_7249176_7249305	1	0	1	0	0	1	1	1	1
chr7_91184278_91184408	1	1	1	1	1	1	1	1	1
chr8_101228735_101228865	1	0	0	0	0	0	1	1	0
chr8_101871435_101871565	1	0	0	0	0	0	0	1	1
chr8_125950100_125950223	1	0	1	0	0	0	1	1	1
chr8_129866771_129866901	1	1	1	0	0	1	1	1	1
chr8_129874017_129874147	1	0	0	0	0	0	0	0	1
chr8_144561899_144562028	1	0	1	0	0	0	1	1	1
chr8_145558308_145558434	1	0	1	0	0	0	1	1	1
chr8_29994831_29994961	1	0	1	0	0	1	1	1	1
chr8_37584735_37584865	1	0	0	0	0	0	0	0	1
chr8_42410053_42410181	1	0	1	0	0	1	1	1	1
chr8_49174991_49175121	1	0	0	0	0	0	0	0	1
chr8_50164221_50164351	1	1	1	0	0	1	1	1	1
chr8_65492296_65492426	1	0	0	0	0	0	0	0	1
chr8_66706488_66706615	1	0	1	0	0	0	1	1	1
chr8_82695930_82696056	1	0	1	0	0	1	1	1	1
chr8_90860842_90860972	1	0	1	0	0	1	1	1	1
chr8_91576379_91576509	1	0	0	0	0	0	0	0	1
chr9_126169221_126169351	1	1	1	0	0	1	1	1	1
chr9_130679401_130679531	1	0	1	0	1	0	0	1	1
chr9_131321335_131321464	1	0	1	0	0	1	1	1	1
chr9_132171174_132171296	1	0	1	0	0	1	1	1	1
chr9_135460472_135460602	1	0	0	0	0	0	0	0	1
chr9_138110487_138110617	1	0	0	0	0	0	0	0	1
chr9_139240075_139240200	1	0	1	0	0	1	1	1	1
chr9_139686634_139686764	1	1	0	0	1	0	0	0	0
chr9_140051475_140051600	1	0	1	0	1	1	0	1	1
chr9_14030408_14030530	1	0	1	0	0	0	0	1	1
chr9_14395800_14395926	1	1	1	0	0	1	0	1	1
chr9_14521948_14522078	1	1	1	1	0	0	1	1	1
chr9_33415740_33415865	1	0	1	0	0	1	1	1	1
chr9_34663099_34663224	1	0	1	0	0	0	1	1	1
chr9_82187438_82187568	1	0	1	0	0	0	0	1	1
chr9_88356931_88357053	1	0	1	0	0	0	0	1	1
chr9_90151213_90151341	1	1	1	0	0	1	1	1	1
